Data,Ano,MesNumero,MesNome,AnoMes,OrdemAnoMes,Empresa,TickerAtual,IndiceMercado,PrecoAcao,PrecoMercado,RetornoAcao,RetornoMercado,SelicMensal,ExcessoAcao,ExcessoMercado,RetornoAcumuladoAcao,RetornoAcumuladoMercado
2021-01-31,2021,1,janeiro,2021-01,202101,Embraer S.A.,EMBJ3,^BVSP,8.79,116007.0,-0.006779661016949157,-0.027651584999916157,0.0015,-0.008279661016949156,-0.029151584999916158,-0.006779661016949157,-0.027651584999916157
2021-02-28,2021,2,fevereiro,2021-02,202102,Embraer S.A.,EMBJ3,^BVSP,12.23,110035.0,0.3913538111490331,-0.05147965208996008,0.0013,0.3900538111490331,-0.052779652089960084,0.3819209039548024,-0.07770774311434459
2021-03-31,2021,3,março,2021-03,202103,Embraer S.A.,EMBJ3,^BVSP,14.01,116634.0,0.14554374488961574,0.05997182714590821,0.002,0.14354374488961574,0.057971827145908206,0.5830508474576273,-0.02239619130638848
2021-04-30,2021,4,abril,2021-04,202104,Embraer S.A.,EMBJ3,^BVSP,15.4,118894.0,0.09921484653818702,0.01937685409057388,0.0021,0.09711484653818701,0.01727685409057388,0.7401129943502827,-0.00345330494694307
2021-05-31,2021,5,maio,2021-05,202105,Embraer S.A.,EMBJ3,^BVSP,17.28,126216.0,0.12207792207792223,0.061584268339865744,0.0027,0.11937792207792224,0.05888426833986574,0.9525423728813565,0.05791829413441074
2021-06-30,2021,6,junho,2021-06,202106,Embraer S.A.,EMBJ3,^BVSP,18.87,126802.0,0.09201388888888884,0.0046428345059263965,0.0031,0.08891388888888883,0.0015428345059263966,1.1322033898305088,0.06283003369486884
2021-07-31,2021,7,julho,2021-07,202107,Embraer S.A.,EMBJ3,^BVSP,18.59,121801.0,-0.014838367779544281,-0.03943944101828045,0.0036,-0.01843836777954428,-0.04303944101828045,1.1005649717514125,0.020912611268502967
2021-08-31,2021,8,agosto,2021-08,202108,Embraer S.A.,EMBJ3,^BVSP,23.42,118781.0,0.2598171059709522,-0.024794541916733026,0.0043,0.2555171059709522,-0.029094541916733024,1.6463276836158194,-0.00440044926491534
2021-09-30,2021,9,setembro,2021-09,202109,Embraer S.A.,EMBJ3,^BVSP,23.13,110979.0,-0.01238257899231443,-0.06568390567515003,0.0044,-0.01678257899231443,-0.07008390567515003,1.6135593220338982,-0.06979531624562041
2021-10-31,2021,10,outubro,2021-10,202110,Embraer S.A.,EMBJ3,^BVSP,21.93,103501.0,-0.05188067444876776,-0.06738211733751431,0.0049,-0.05678067444876776,-0.07228211733751432,1.4779661016949155,-0.13247447739426343
2021-11-30,2021,11,novembro,2021-11,202111,Embraer S.A.,EMBJ3,^BVSP,19.14,101915.0,-0.12722298221614226,-0.015323523444217946,0.0059,-0.13312298221614224,-0.021223523444217945,1.1627118644067798,-0.14576802507836983
2021-12-31,2021,12,dezembro,2021-12,202112,Embraer S.A.,EMBJ3,^BVSP,24.82,104822.0,0.2967607105538139,0.028523769808173505,0.0077,0.28906071055381394,0.020823769808173506,1.8045197740112995,-0.1214021088629238
2022-01-31,2022,1,janeiro,2022-01,202201,Embraer S.A.,EMBJ3,^BVSP,20.31,112388.0,-0.18170829975825953,0.07217950430253195,0.0073,-0.18900829975825953,0.06487950430253195,1.2949152542372881,-0.057985348599399744
2022-02-28,2022,2,fevereiro,2022-02,202202,Embraer S.A.,EMBJ3,^BVSP,17.6,113142.0,-0.1334318069916296,0.0067089013061891745,0.0076,-0.1410318069916296,-0.0008910986938108255,0.9887005649717517,-0.05166546527416893
2022-03-31,2022,3,março,2022-03,202203,Embraer S.A.,EMBJ3,^BVSP,14.96,119999.0,-0.15000000000000002,0.06060525711053377,0.009300000000000001,-0.15930000000000002,0.05130525711053377,0.6903954802259888,0.0058085930296885024
2022-04-30,2022,4,abril,2022-04,202204,Embraer S.A.,EMBJ3,^BVSP,14.21,107876.0,-0.050133689839572226,-0.10102584188201569,0.0083,-0.05843368983957223,-0.10932584188201569,0.6056497175141244,-0.09580406685330145
2022-05-31,2022,5,maio,2022-05,202205,Embraer S.A.,EMBJ3,^BVSP,12.74,111351.0,-0.10344827586206895,0.03221291112017499,0.0103,-0.11374827586206895,0.02191291112017499,0.43954802259887016,-0.06667728362362313
2022-06-30,2022,6,junho,2022-06,202206,Embraer S.A.,EMBJ3,^BVSP,11.44,98542.0,-0.10204081632653061,-0.11503264452048023,0.0102,-0.11224081632653062,-0.12523264452048022,0.29265536723163854,-0.17403986387943593
2022-07-31,2022,7,julho,2022-07,202207,Embraer S.A.,EMBJ3,^BVSP,11.75,103165.0,0.027097902097902082,0.04691400621054975,0.0103,0.016797902097902082,0.03661400621054975,0.32768361581920913,-0.13529076492380931
2022-08-31,2022,8,agosto,2022-08,202208,Embraer S.A.,EMBJ3,^BVSP,13.82,109523.0,0.17617021276595746,0.06162942858527609,0.011699999999999999,0.16447021276595747,0.04992942858527609,0.561581920903955,-0.08199922887365252
2022-09-30,2022,9,setembro,2022-09,202209,Embraer S.A.,EMBJ3,^BVSP,11.65,110037.0,-0.15701881331403766,0.004693078166229991,0.010700000000000001,-0.16771881331403765,-0.00600692183377001,0.31638418079096065,-0.07769097949809711
2022-10-31,2022,10,outubro,2022-10,202210,Embraer S.A.,EMBJ3,^BVSP,13.75,116037.0,0.1802575107296136,0.05452711360724116,0.0102,0.17005751072961361,0.04432711360724116,0.5536723163841808,-0.02740013075620651
2022-11-30,2022,11,novembro,2022-11,202211,Embraer S.A.,EMBJ3,^BVSP,13.55,112486.0,-0.014545454545454528,-0.030602307884554092,0.0102,-0.02474545454545453,-0.04080230788455409,0.5310734463276836,-0.05716393140328213
2022-12-31,2022,12,dezembro,2022-12,202212,Embraer S.A.,EMBJ3,^BVSP,14.31,110031.0,0.05608856088560876,-0.02182493821453335,0.011200000000000002,0.04488856088560876,-0.03302493821453335,0.6169491525423727,-0.07774127034683898
2023-01-31,2023,1,janeiro,2023-01,202301,Embraer S.A.,EMBJ3,^BVSP,16.35,113532.0,0.1425576519916143,0.03181830575019773,0.011200000000000002,0.1313576519916143,0.020618305750197727,0.847457627118644,-0.04839656010594573
2023-02-28,2023,2,fevereiro,2023-02,202302,Embraer S.A.,EMBJ3,^BVSP,16.59,104932.0,0.014678899082568808,-0.0757495684036219,0.0092,0.005478899082568808,-0.0849495684036219,0.8745762711864407,-0.12048010996932235
2023-03-31,2023,3,março,2023-03,202303,Embraer S.A.,EMBJ3,^BVSP,20.79,101882.0,0.25316455696202533,-0.029066443029771682,0.011699999999999999,0.24146455696202535,-0.040766443029771685,1.3491525423728814,-0.14604462474645008
2023-04-30,2023,4,abril,2023-04,202304,Embraer S.A.,EMBJ3,^BVSP,19.42,104432.0,-0.06589706589706579,0.02502895506566416,0.0092,-0.07509706589706579,0.01582895506566416,1.194350282485876,-0.12467101403114655
2023-05-31,2023,5,maio,2023-05,202305,Embraer S.A.,EMBJ3,^BVSP,19.02,108335.0,-0.02059732234809486,0.037373601961084635,0.011200000000000002,-0.03179732234809486,0.026173601961084633,1.1491525423728812,-0.09195681692454682
2023-06-30,2023,6,junho,2023-06,202306,Embraer S.A.,EMBJ3,^BVSP,18.54,118087.0,-0.025236593059936974,0.09001707666035896,0.010700000000000001,-0.035936593059936975,0.07931707666035896,1.094915254237288,-0.010217424102727413
2023-07-31,2023,7,julho,2023-07,202307,Embraer S.A.,EMBJ3,^BVSP,18.51,121943.0,-0.0016181229773462036,0.03265389077544523,0.010700000000000001,-0.012318122977346205,0.021953890775445226,1.0915254237288137,0.022102828022060983
2023-08-31,2023,8,agosto,2023-08,202308,Embraer S.A.,EMBJ3,^BVSP,19.49,115742.0,0.05294435440302525,-0.05085162739968674,0.011399999999999999,0.04154435440302525,-0.06225162739968674,1.2022598870056496,-0.029872764152682918
2023-09-30,2023,9,setembro,2023-09,202309,Embraer S.A.,EMBJ3,^BVSP,17.22,116565.0,-0.11646998460749103,0.007110642636208198,0.0097,-0.12616998460749101,-0.0025893573637918027,0.9457627118644065,-0.022974536066920126
2023-10-31,2023,10,outubro,2023-10,202310,Embraer S.A.,EMBJ3,^BVSP,17.59,113144.0,0.021486643437863107,-0.029348432205207442,0.01,0.011486643437863106,-0.039348432205207444,0.9875706214689266,-0.05164870165792146
2023-11-30,2023,11,novembro,2023-11,202311,Embraer S.A.,EMBJ3,^BVSP,21.5,127331.0,0.2222853894258101,0.12538888496075806,0.0092,0.21308538942581012,0.11618888496075806,1.4293785310734464,0.06726401019227901
2023-12-31,2023,12,dezembro,2023-12,202312,Embraer S.A.,EMBJ3,^BVSP,22.39,134185.0,0.04139534883720941,0.05382821151172923,0.0089,0.03249534883720941,0.04492821151172923,1.529943502824859,0.1247129230717654
2024-01-31,2024,1,janeiro,2024-01,202401,Embraer S.A.,EMBJ3,^BVSP,22.78,127752.0,0.017418490397498987,-0.047941275105265135,0.0097,0.007718490397498987,-0.057641275105265136,1.5740112994350288,0.07079275141233499
2024-02-29,2024,2,fevereiro,2024-02,202402,Embraer S.A.,EMBJ3,^BVSP,24.43,129020.0,0.0724319578577699,0.009925480618698801,0.008,0.0644319578577699,0.0019254806186988008,1.7604519774011305,0.0814208841131212
2024-03-31,2024,3,março,2024-03,202403,Embraer S.A.,EMBJ3,^BVSP,33.31,128106.0,0.3634875153499797,-0.007084172996434712,0.0083,0.3551875153499797,-0.015384172996434712,2.7638418079096057,0.07375991148810646
2024-04-30,2024,4,abril,2024-04,202404,Embraer S.A.,EMBJ3,^BVSP,33.35,125924.0,0.0012008405884118556,-0.01703276973756107,0.0089,-0.007699159411588144,-0.02593276973756107,2.768361581920905,0.055470806162305486
2024-05-31,2024,5,maio,2024-05,202405,Embraer S.A.,EMBJ3,^BVSP,36.23,122098.0,0.08635682158920521,-0.03038340586385435,0.0083,0.07805682158920521,-0.03868340586385435,3.0937853107344635,0.023402008281226516
2024-06-30,2024,6,junho,2024-06,202406,Embraer S.A.,EMBJ3,^BVSP,36.15,123907.0,-0.002208114821970697,0.014815967501515148,0.0079,-0.010108114821970698,0.006915967501515147,3.084745762711865,0.038564699176906414
2024-07-31,2024,7,julho,2024-07,202407,Embraer S.A.,EMBJ3,^BVSP,43.81,127652.0,0.21189488243430166,0.03022428111406139,0.0091,0.20279488243430166,0.02112428111406139,3.9502824858757073,0.06995457059996979
2024-08-31,2024,8,agosto,2024-08,202408,Embraer S.A.,EMBJ3,^BVSP,46.83,136004.0,0.06893403332572468,0.06542788205433525,0.0087,0.060234033325724676,0.05672788205433525,4.291525423728815,0.13995943204868144
2024-09-30,2024,9,setembro,2024-09,202409,Embraer S.A.,EMBJ3,^BVSP,47.97,131816.0,0.0243433696348494,-0.030793211964354028,0.0084,0.0159433696348494,-0.039193211964354026,4.420338983050848,0.10485641962684178
2024-10-31,2024,10,outubro,2024-10,202410,Embraer S.A.,EMBJ3,^BVSP,48.48,129713.0,0.010631644777986171,-0.0159540571706015,0.009300000000000001,0.0013316447779861702,-0.0252540571706015,4.477966101694915,0.08722947714280904
2024-11-30,2024,11,novembro,2024-11,202411,Embraer S.A.,EMBJ3,^BVSP,58.13,125668.0,0.19905115511551164,-0.031184229799634533,0.0079,0.19115115511551165,-0.03908422979963454,5.568361581920904,0.053325063282651186
2024-12-31,2024,12,dezembro,2024-12,202412,Embraer S.A.,EMBJ3,^BVSP,56.19,120283.0,-0.03337347324961304,-0.042851004233376844,0.009300000000000001,-0.04267347324961304,-0.052151004233376846,5.349152542372881,0.008189026536804311
2025-01-31,2025,1,janeiro,2025-01,202501,Embraer S.A.,EMBJ3,^BVSP,59.7,126135.0,0.06246663107314476,0.0486519292003027,0.0101,0.052366631073144765,0.038551929200302704,5.745762711864407,0.057239367676394926
2025-02-28,2025,2,fevereiro,2025-02,202502,Embraer S.A.,EMBJ3,^BVSP,69.72,122799.0,0.1678391959798995,-0.026447853490307982,0.009899999999999999,0.1579391959798995,-0.03634785349030798,6.877966101694915,0.0292776557759038
2025-03-31,2025,3,março,2025-03,202503,Embraer S.A.,EMBJ3,^BVSP,65.75,130260.0,-0.05694205393000573,0.06075782376077976,0.0096,-0.06654205393000573,0.051157823760779764,6.429378531073446,0.0918143261864448
2025-04-30,2025,4,abril,2025-04,202504,Embraer S.A.,EMBJ3,^BVSP,64.92,135067.0,-0.012623574144486671,0.03690311684323655,0.0106,-0.02322357414448667,0.02630311684323655,6.335593220338983,0.1321056778368228
2025-05-31,2025,5,maio,2025-05,202505,Embraer S.A.,EMBJ3,^BVSP,65.49,137027.0,0.008780036968576654,0.014511316605832603,0.011399999999999999,-0.0026199630314233443,0.003111316605832604,6.3999999999999995,0.14853402175917374
2025-06-30,2025,6,junho,2025-06,202506,Embraer S.A.,EMBJ3,^BVSP,77.01,138855.0,0.1759047182775999,0.013340436556299018,0.011000000000000001,0.1649047182775999,0.002340436556299017,7.701694915254238,0.16385596700920302
2025-07-31,2025,7,julho,2025-07,202507,Embraer S.A.,EMBJ3,^BVSP,80.66,133071.0,0.04739644202051663,-0.041654963811169954,0.0128,0.03459644202051663,-0.05445496381116995,8.114124293785311,0.11537558882202048
2025-08-31,2025,8,agosto,2025-08,202508,Embraer S.A.,EMBJ3,^BVSP,76.2,141422.0,-0.05529382593602772,0.062755972375649,0.0116,-0.06689382593602772,0.051155972375649006,7.610169491525424,0.18537206846260834
2025-09-30,2025,9,setembro,2025-09,202509,Embraer S.A.,EMBJ3,^BVSP,80.29,146237.0,0.05367454068241484,0.03404703652897001,0.012199999999999999,0.04147454068241484,0.02184703652897001,8.072316384180793,0.22573047457797557
2025-10-31,2025,10,outubro,2025-10,202510,Embraer S.A.,EMBJ3,^BVSP,86.99,149540.0,0.08344750280234137,0.022586623084445145,0.0128,0.07064750280234136,0.009786623084445145,8.829378531073447,0.25341558681038645
2025-11-30,2025,11,novembro,2025-11,202511,Embraer S.A.,EMBJ3,^BVSP,84.04,159072.0,-0.033911943901597796,0.06374214257054978,0.0105,-0.0444119439015978,0.05324214257054977,8.496045197740115,0.3333109818450035
2025-12-31,2025,12,dezembro,2025-12,202512,Embraer S.A.,EMBJ3,^BVSP,88.6,161125.0,0.05425987624940487,0.012906105411386148,0.012199999999999999,0.04205987624940487,0.0007061054113861494,9.01129943502825,0.350518833922854
